2024-12-15 21:31:26 | root | /etc/audit | 2024-12-15 21:31:26 source /etc/bash.bashrc 
2024-12-15 21:31:32 | root | /etc/audit | 2024-12-15 21:31:32 ls -l
2024-12-15 21:31:36 | root | /etc | 2024-12-15 21:31:36 cd /etc
2024-12-15 21:31:50 | root | /etc | 2024-12-15 21:31:50 cat /var/log/bash_history.log 
2024-12-15 21:32:56 | root | /root | 2024-12-15 21:32:56 cd ~
2024-12-15 21:33:00 | root | /root | 2024-12-15 21:33:00 pwd
2024-12-15 21:33:37 | root | /root | 2024-12-15 21:33:35 apt install -y apt-transport-https ca-certificates curl software-properties-common
2024-12-15 21:34:35 | root | /root | 2024-12-15 21:34:35 curl -fsSL https://download.docker.com/linux/ubuntu/gpg | sudo gpg --dearmor -o /usr/share/keyrings/docker-archive-keyring.gpg
2024-12-15 21:36:21 | root | /root | 2024-12-15 21:36:21 echo "deb [arch=$(dpkg --print-architecture) signed-by=/usr/share/keyrings/docker-archive-keyring.gpg] https://download.docker.com/linux/ubuntu $(lsb_release -cs) stable" | sudo tee /etc/apt/sources.list.d/docker.list
2024-12-15 21:36:30 | root | /root | 2024-12-15 21:36:29 sudo apt update
2024-12-15 21:37:05 | root | /root | 2024-12-15 21:36:52 sudo apt install -y docker-ce docker-ce-cli containerd.io
2024-12-15 21:37:12 | root | /root | 2024-12-15 21:37:12 sudo systemctl enable docker
2024-12-15 21:37:21 | root | /root | 2024-12-15 21:37:21 sudo systemctl start docker
2024-12-15 21:37:37 | root | /root | 2024-12-15 21:37:37 sudo docker network create servers_net
2024-12-15 21:38:25 | root | /root | 2024-12-15 21:38:11 sudo docker run -d --name apache_server --network servers_net -p 80:80 php:7.4-apache
2024-12-15 21:39:13 | root | /root | 2024-12-15 21:39:12 docker stop apache_server
2024-12-15 21:39:17 | root | /root | 2024-12-15 21:39:17 docker rm apache_server
2024-12-15 21:40:01 | root | /root | 2024-12-15 21:39:59 sudo docker run -d --name apache_server --network servers_net -p 80:80 -v apache_html:/var/www/html php:7.4-apache
2024-12-15 21:40:10 | root | /root | 2024-12-15 21:40:10 docker ps
2024-12-15 21:40:18 | root | /root | 2024-12-15 21:40:18 curl localhost
2024-12-15 21:42:16 | root | /root | 2024-12-15 21:42:16 sudo docker run -d --name mysql_server --network servers_net -e MYSQL_ROOT_PASSWORD=mysql -e MYSQL_DATABASE=db =p 3306:3306 mysql:5.7
2024-12-15 21:43:26 | root | /root | 2024-12-15 21:43:12 docker run -d --name mysql_server --network servers_net -e MYSQL_ROOT_PASSWORD=mysql -e MYSQL_DATABASE=db -p 3306:3306 mysql:5.7
2024-12-15 21:44:06 | root | /root | 2024-12-15 21:44:06 mysql -h localhost -u mysql -proot
2024-12-15 21:45:12 | root | /root | 2024-12-15 21:45:12 sudo docker ps
2024-12-15 21:45:28 | root | /root | 2024-12-15 21:45:25 sudo apt install mysql-client -y
2024-12-15 21:45:42 | root | /root | 2024-12-15 21:45:42 mysql -h localhost -u mysql -proot
2024-12-15 21:45:47 | root | /root | 2024-12-15 21:45:47 mysql -h localhost -u root -proot
2024-12-15 21:46:45 | root | /root | 2024-12-15 21:46:45 docker rm mysql_server
2024-12-15 21:46:57 | root | /root | 2024-12-15 21:46:52 docker stop mysql_server
2024-12-15 21:46:59 | root | /root | 2024-12-15 21:46:59 docker rm mysql_server
2024-12-15 21:47:17 | root | /root | 2024-12-15 21:47:16 docker run -d --name mysql_server --network servers_net -e MYSQL_ROOT_PASSWORD=root -e MYSQL_DATABASE=mysql_db -p 3306:3306 mysql:5.7
2024-12-15 21:47:22 | root | /root | 2024-12-15 21:47:22 mysql -h localhost -u root -proot
2024-12-15 21:47:41 | root | /root | 2024-12-15 21:47:41 docker start mysql_server
2024-12-15 21:47:45 | root | /root | 2024-12-15 21:47:45 mysql -h localhost -u root -proot
2024-12-15 21:49:00 | root | /root | 2024-12-15 21:48:59 docker ps
2024-12-15 21:49:36 | root | /root | 2024-12-15 21:49:23 mysql -h 127.0.0.1 -P 3306 -u root -proot
